RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
94,Control,19,First,no,1,pre,5.875,3.6,1.6,3,2.3,4.2,3,5,3
94,Control,19,First,no,1,post,5.75,3.8,1.2,3.3333333333333335,2.15,4.05,2,5,3
95,Direct,19,First,yes,1,pre,6.5,4.2,1.8,3.3333333333333335,1.7,4.8,4,5,4
95,Direct,19,First,yes,1,post,6.625,3.8,1,4,1.3157894736842106,5.35,2,5,4
96,Indirect,18,First,yes,1,pre,6.125,3.2,1.2,4.666666666666667,1.85,4.5,4,5,2
96,Indirect,18,First,yes,1,post,6.125,3,1.8,4.333333333333333,1.85,4.65,4,5,2
97,Control,19,First,no,1,pre,6.375,4.2,3,3,2.95,3.3,3,1,3
97,Control,19,First,no,1,post,6.375,4,2.6,3,2.8,3.25,3,1,3
98,Direct,21,First,no,1,pre,6.375,3.2,1,4.333333333333333,1.3157894736842106,5.55,3,5,4
98,Direct,21,First,no,1,post,6.5,2.6,1,4.333333333333333,1.3,5.65,1,5,4
99,Indirect,20,Third,no,1,pre,5.75,3.6,1.2,4,1.4,5,3,5,3
99,Indirect,20,Third,no,1,post,6,3.4,1,4,1.35,4.85,2,5,4
100,Control,19,Second,no,1,pre,3.875,2.8,3.4,1.3333333333333333,2.7,3.3,4,3,4
100,Control,19,Second,no,1,post,4.625,3,3.6,1.3333333333333333,2.9,3.05,4,1,4
101,Direct,19,Second,no,1,pre,4.75,3.2,2.2,2.6666666666666665,2.15,3.85,2,4,4
101,Direct,19,Second,no,1,post,4.5,3.4,2,2.6666666666666665,2.1,3.8,1,5,4
102,Indirect,19,First,no,1,pre,4,2.8,2.6,1.3333333333333333,2.65,2.75,4,3,3
102,Indirect,19,First,no,1,post,5,2.8,1.8,2.6666666666666665,2.5,3.25,2,3,3
103,Control,20,Third,no,1,pre,6.5,3.8,1.2,3.6666666666666665,2.75,3.55,4,4,5
103,Control,20,Third,no,1,post,6.5,3.8,1,3.6666666666666665,2.5,4,2,5,5
104,Direct,23,Fourth,no,1,pre,6.5,3.4,1,4.333333333333333,1.3,5.45,2,4,4
104,Direct,23,Fourth,no,1,post,6.25,4,1,4.666666666666667,1.1,5.45,1,5,4
105,Indirect,26,Fifth or above,no,1,pre,6.75,4.4,1,5,1.1,5.8,1,5,1
105,Indirect,26,Fifth or above,no,1,post,6.75,4.4,1,5,1.2,5.7894736842105265,1,5,1
106,Control,19,Second,no,1,pre,6.25,3.8,1.4,3.6666666666666665,2.05,4.3,2,5,4
106,Control,19,Second,no,1,post,6.125,3.8,1.6,4,2.05,4.45,3,5,4
107,Direct,18,First,no,1,pre,6.875,4,1.6,5,1.25,5.8,2,5,3
107,Direct,18,First,no,1,post,7,3.8,1.6,5,1.15,5.9,2,4,4
108,Indirect,19,Second,yes,1,pre,6.125,3.4,1.6,4,1.7,4.6,2,5,3
108,Indirect,19,Second,yes,1,post,6.125,2.8,1.4,3.3333333333333335,1.8,4.8,2,4,2
109,Control,18,First,no,1,pre,6.25,3.4,1.4,4.666666666666667,2.1,4.45,4,1,3
