Serial,Watch_wk,Watch_we,Comp_wk,Comp_we,Comph_wk,Comph_we,Smart_wk,Smart_we
1000283,3,3,0,0,2,3,3,7
1000284,0.5,1,0,0,2,3,2,3
1000285,1,1,0,0,0.5,0.5,5,5
1000286,2,3,0,0,2,3,1,2
1000287,3,4,0,0,3,4,4,4
1000288,5,7,0,0,7,7,7,7
1000289,2,2,0,0,0,0,2,5
1000290,5,7,0,0,2,2,7,7
1000291,2,4,1,2,3,5,4,6
1000292,1,2,0,0,0.5,0.5,1,2
1000293,5,4,0,0,0.5,4,4,6
1000294,4,3,0,0,1,1,2,1
1000295,2,4,0,0.5,1,2,0.5,1
1000296,1,2,0,0,0.5,0.5,1,2
1000297,0.5,0,0,0,2,3,1,1
1000298,1,2,0.5,0,0,0,5,7
1000299,2,3,0,0,2,2,1,1
1000300,2,3,0,0.5,1,2,4,4
1000301,0.5,2,0,0,2,2,4,4
1000302,5,6,0,0,0.5,0.5,3,4
1000303,1,3,0,0,0,0,3,4
1000304,3,6,0,0,2,3,3,5
1000305,0.5,1,0,0,0.5,0.5,3,4
1000306,5,6,0,2,5,6,0,0
1000307,4,6,0,0,1,1,2,3
1000308,2,3,0,0,0.5,2,2,3
1000309,0.5,1,0,0,0.5,1,2,4
1000310,2,3,0,1,2,0,5,5
1000311,2,4,0,0,2,4,1,1
1000312,3,3,0,0,1,1,4,5
1000313,1,3,0,0,2,3,4,6
1000314,2,4,0,0.5,0.5,0,1,2
1000315,3,7,0,0,0,0,2,7
1000316,2,2,0.5,0.5,2,7,3,7
1000317,7,6,2,0.5,7,1,7,7
1000318,0.5,1,0,0.5,2,3,4,6
1000319,3,7,0,0.5,2,1,4,7
1000320,2,1,0,0,3,3,2,2
1000322,3,4,0,0.5,3,2,0.5,2
1000323,2,3,1,0.5,0.5,1,1,3
1000324,5,6,1,2,0.5,1,0.5,1
1000325,3,3,0,0,4,3,4,3
1000326,3,1,0,0,1,3,5,6
1000327,7,7,0,0,7,7,3,4
1000328,0.5,1,0,0.5,0.5,0,2,3
1000329,2,5,0,0,0,0,6,7
1000330,0.5,0.5,0,0,3,0,3,4
1000331,3,4,0,0,1,1,3,5
1000332,1,4,0,0,2,2,2,2
1000333,2,1,0,0,0,0,4,4
1000334,2,2,0.5,0.5,1,1,1,3
1000335,3,3,0,0,2,3,3,4
1000336,3,5,0.5,0,3,6,4,3
1000337,0.5,2,0,0,3,3,2,5
1000338,3,5,0,0,3,3,2,2
1000339,1,1,0,0,0,0,0.5,0
1000340,5,6,2,2,0,0,2,2
1000341,6,7,0.5,0.5,3,3,7,7
1000342,0.5,0.5,0,0,0,0,6,7
1000343,3,3,3,7,7,7,7,7
1000344,3,1,0,0,1,1,2,4
1000345,1,3,0,0.5,2,2,2,2
1000346,0.5,1,0,0,0.5,0.5,1,4
1000347,5,6,0,0,3,3,7,7
1000348,3,3,0,0,0.5,0,3,3
1000349,3,4,0,0.5,0.5,0.5,1,2
1000350,3,3,1,2,2,3,7,7
1000351,3,5,0,0.5,0,0,7,7
1000352,0.5,1,0,1,2,3,6,7
1000353,5,7,0,0,0,0,5,7
1000354,1,3,3,4,5,6,7,7
1000355,4,5,4,4,7,7,7,7
1000356,6,4,0,0,1,0.5,5,6
1000357,3,6,5,7,5,7,0,0
